devicename,releasedate,manufacturer
Iphone 4,2010-06-24,Apple
Iphone 4s,2011-10-14,Apple
Iphone 5,2012-09-21,Apple
Iphone 5s,2013-09-20,Apple
Iphone 6,2014-09-19,Apple
Iphone 6s,2015-09-25,Apple
Iphone 6s Plus,2014-09-19,Apple
Iphone,,Apple
Iphone 7,2016-09-08,Apple
Iphone 7 Plus,2016-09-08,Apple
Iphone SE,2016-03-26,Apple
aquaris M5,2015-07-09,BQ
Y530,2014-02-01,Huawei
P7,2014-05-07,Huawei
Huawei - sonstige,,Huawei
Galaxy S2,2011-05-19,Samsung
Galaxy S3,2012-05-29,Samsung
Galaxy S3 mini,2012-09-11,Samsung
Galaxy S4,2013-04-27,Samsung
Galaxy S4 mini,2013-05-30,Samsung
Galaxy S5,2014-04-11,Samsung
Galaxy S5 mini,2014-07-01,Samsung
Galaxy S6,2015-04-10,Samsung
Galaxy S6 Edge,2015-04-10,Samsung
Galaxy S7,2016-03-10,Samsung
Galaxy S7 edge,2016-02-16,Samsung
Galaxy Express,2013-03-05,Samsung
Galaxy Ace 2,2012-04-16,Samsung
Galaxy A3,2015-01-13,Samsung
Galaxy A5,2015-12-03,Samsung
Galaxy Note 3,2013-09-06,Samsung
Galaxy Note 4,2014-09-04,Samsung
Galaxy Alpha,2014-08-14,Samsung
Samsung - sonstige,,Samsung
One,2013-02-19,HTC
HTC - sonstige,,HTC
One X+,2012-10-12,HTC
Desire,,HTC
10,2016-04-13,HTC
E,,Mobistel
P700,2012-03-21,LG
L5,2013-02-21,LG
G2,2013-08-23,LG
G4,2015-04-24,LG
G6,2017-03-06,LG
K10,2016-01-14,LG
K8,2016-03-01,LG
K4 Dual,2017-01-05,LG
K3,2016-09-03,LG
LG - sonstige,,LG
Xperia Z1,2013-09-04,Sony
Xperia XA,2016-02-16,Sony
Xperia L,2013-03-19,Sony
Xperia E5,2016-05-31,Sony
Xperia M5,2015-12-03,Sony
Xperia Z3,2014-09-03,Sony
Xperia Z5,2015-08-31,Sony
Xperia Z5 Compact,2015-08-31,Sony
Sony - Sonstige,,Sony
Xperia,,Sony
Nexus 4,2012-11-12,Google
Nexus 5,2013-11-04,Google
Nexus 5X,2015-09-29,Google
Nexus 6P,2015-10-23,Google
Nexus,,Google
Razr,,Motorola
Lumia,,Nokia
Lumia 950XL,2015-11-20,Nokia
Onetouch,,alcatel
Blackberry,,Blackberry
Nokia - sonstige,,Nokia
Garmin - sonstige,,Garmin
Fenix,2012-09-25,Garmin
Fenix 2,2014-02-21,Garmin
Fenix 3,2015-01-06,Garmin
Fenix 5,2017-02-12,Garmin
Forerunner,,Garmin
Forerunner 10,2012-09-11,Garmin
Forerunner 15,2014-08-05,Garmin
Forerunner 25,2015-08-26,Garmin
Forerunner 35,2016-08-30,Garmin
Forerunner 110 HR,2010-04-15,Garmin
Forerunner 201,2007-02-15,Garmin
Forerunner 205,2006-11-24,Garmin
Forerunner 210 HR,2010-10-28,Garmin
Forerunner 220,2013-11-06,Garmin
Forerunner 225,2015-05-13,Garmin
Forerunner 230,2015-10-22,Garmin
Forerunner 235 WHR,2015-10-22,Garmin
Forerunner 305,2006-04-07,Garmin
Forerunner 310XT,2009-05-08,Garmin
Forerunner 405,2006-11-02,Garmin
Forerunner 410 HR,2010-10-28,Garmin
Forerunner 610,2011-06-08,Garmin
Forerunner 620,2013-10-24,Garmin
Forerunner 630 HR,2015-10-22,Garmin
Forerunner 735XT,2016-05-12,Garmin
Forerunner 910XT HR,2011-11-21,Garmin
Forerunner 920XT,2010-10-02,Garmin
vivoactive,2015-02-08,Garmin
